ROCK,ExibicoesRock,POP,ExibicoesPop,MPB,ExibicoesMPB,FUNK,ExibicoesFunk,SERTANEJO,ExibicoesSertanejo
Legião Urbana,138563,Melim,142765,Anavitória,85373,Gaab,8600,Bruno e Marrone,183095
The Beatles,79643,Whindersson Nunes,59849,Zé Ramalho,50737,MC Du Black,3724,Gusttavo Lima,151813
Charlie Brown Jr,66286,Ed Sheeran,52592,Caetano Veloso,46279,Pikeno e Menor,3618,Marília Mendonça,131400
Raul Seixas,53711,Lagum,34250,Djavan,42490,MC Livinho,3491,Jorge e Mateus,107514
Engenheiros do Hawaii,44512,Coldplay,30125,Alceu Valença,34834,Claudinho e Buchecha,3236,Matheus e Kauan,89377
Nando Reis,43111,Billie Eilish,29594,Chico Buarque,20372,Ludmilla,3052,Zé Neto e Cristiano,76201
Capital Inicial,41933,Tiago Iorc,29178,Fagner,19430,Kevinho,2895,Zezé Di Camargo e Luciano,73333
Queen,40984,Lulu Santos,23705,Seu Jorge,18751,MC Kevin o Chris,2741,Manoel Gomes,70022
Jota Quest,37158,Bruno Mars,23058,Marisa Monte,18193,MC Bruninho,1816,Henrique e Juliano,61613
Skank,36235,Lady Gaga,18652,Ana Vilela,17002,MC Don Juan,1211,Luan Santana,60734
Guns N' Roses,31443,Shawn Mendes,16814,Belchior,15871,Nego do Borel,969,Chitãozinho & Xororó,56672
Cássia Eller,31079,Vitão,15972,Gilberto Gil,15489,CoCo,952,Eduardo Costa,53766
Red Hot Chili Peppers,27830,Giulia Be,12591,Tribalistas,14090,Dadá Boladão,918,Victor e Leo,45458
Roupa Nova,26523,Sandy & Junior,12330,Jorge Vercillo,12277,MC TH,892,Milionário e José Rico,35325
Os Paralamas do Sucesso,25341,Jason Mraz,12199,Adriana Calcanhotto,11777,MC Kekel,820,Leandro & Leonardo,33788
O Rappa,24404,Kell Smith,12085,Toquinho,10973,MC Pedrinho,804,Gustavo Mioto,30517
Pink Floyd,23458,Um44k,11507,Milton Nascimento,10668,MC Lan,671,Cristiano Araújo,26162
Titãs,22007,Michael Jackson,11277,Maria Gadú,10495,Dennis DJ,610,Maiara e Maraisa,25852
Cazuza,21317,Maroon 5,10226,Jorge Ben Jor,9523,MC G15,549,Trio Parada Dura,21157
Elvis Presley,19750,Jão,9857,Vanessa da Mata,9416,MC Marcinho,471,Diego e Victor Hugo,18424
