X,Y,Total_de_notas
2,12,14
2,14,29
2,16,20
2,18,25
2,20,20
2,21,38
2,27,20
2,28,29
2,30,20
2,0,32
2,7,30
2,11,37
2,23,14
2,25,31
2,4,32
2,5,19
2,9,19
2,2,15
3,11,68
3,14,59
3,21,67
3,25,60
3,0,63
3,4,65
3,7,36
3,12,18
3,16,12
3,18,38
3,20,18
3,2,16
3,23,12
3,27,8
3,28,44
3,30,18
3,5,10
3,9,14
